Wall time,Step,Value
1764875617.813301,2560,2.4666836261749268
1764875632.99816,2560,2.4709584712982178
1764875647.957698,2560,2.4530951976776123
1764875663.242938,2560,2.4626598358154297
1764875688.707577,5120,2.4547314643859863
1764875703.895828,5120,2.4235072135925293
1764875718.9783978,5120,2.403552532196045
1764875733.8366451,5120,2.4236598014831543
1764875759.234594,7680,2.401362657546997
1764875774.41188,7680,2.3395047187805176
1764875789.50914,7680,2.3022940158843994
1764875804.492942,7680,2.3112688064575195
1764875829.757453,10240,2.2934038639068604
1764875844.752817,10240,2.2734899520874023
1764875860.054348,10240,2.210193157196045
1764875874.985472,10240,2.2329459190368652
1764875900.293519,12800,2.1580936908721924
1764875915.442304,12800,2.1009442806243896
1764875930.540892,12800,2.0874648094177246
1764875945.805226,12800,2.0449891090393066
1764875972.091893,15360,2.100496292114258
1764875987.247252,15360,2.026024341583252
1764876002.278395,15360,2.0606625080108643
1764876017.4072242,15360,2.0378165245056152
1764876043.1667619,17920,2.032744884490967
1764876058.1457028,17920,1.9645236730575562
1764876073.152956,17920,2.0007057189941406
1764876087.9574022,17920,1.9840236902236938
1764876113.475807,20480,1.9608697891235352
1764876128.4343848,20480,1.9545599222183228
1764876143.3751512,20480,1.976424217224121
1764876158.397449,20480,1.9810394048690796
1764876183.948043,23040,1.9534027576446533
1764876198.958195,23040,1.9142608642578125
1764876213.79006,23040,1.9145129919052124
1764876228.8223171,23040,1.9031829833984375
1764876253.9798021,25600,1.901646375656128
1764876269.297717,25600,1.872065544128418
1764876284.405579,25600,1.905539870262146
1764876299.3110669,25600,1.8935304880142212
1764876354.7055418,28160,1.8960926532745361
1764876369.711885,28160,1.8954331874847412
1764876384.775831,28160,1.8477274179458618
1764876399.8287308,28160,1.8505172729492188
1764876424.3414452,30720,1.8771617412567139
1764876437.339026,30720,1.8646751642227173
1764876452.383677,30720,1.8147761821746826
1764876467.346147,30720,1.827779769897461
1764876492.46452,33280,1.8358049392700195
1764876507.401481,33280,1.825743317604065
1764876522.52318,33280,1.806974172592163
1764876537.66358,33280,1.8111388683319092
1764876562.963438,35840,1.8200740814208984
1764876577.9709241,35840,1.8056656122207642
1764876592.978682,35840,1.8071151971817017
1764876607.970992,35840,1.7972233295440674
1764876633.3732,38400,1.7941986322402954
1764876648.453114,38400,1.7919561862945557
1764876663.304168,38400,1.7786576747894287
1764876678.2636428,38400,1.7869716882705688
1764876704.617891,40960,1.7973289489746094
1764876719.732037,40960,1.7701265811920166
1764876734.742683,40960,1.7869350910186768
1764876749.748966,40960,1.8164926767349243
1764876774.216716,43520,1.7845714092254639
1764876789.183815,43520,1.7663002014160156
1764876804.146834,43520,1.772650122642517
1764876819.087544,43520,1.7758722305297852
1764876844.19431,46080,1.7638332843780518
1764876859.400109,46080,1.7480573654174805
1764876874.604023,46080,1.7512134313583374
1764876889.654578,46080,1.7366842031478882
1764876914.925496,48640,1.7438125610351562
1764876929.991124,48640,1.757820725440979
1764876945.231682,48640,1.7285404205322266
1764876960.110962,48640,1.7535169124603271
1764876985.283796,51200,1.7305091619491577
1764877000.49453,51200,1.7285398244857788
1764877015.763948,51200,1.774451494216919
1764877030.907059,51200,1.702858328819275
1764877087.181535,53760,1.744076132774353
1764877102.290584,53760,1.7206615209579468
1764877117.439612,53760,1.7313902378082275
1764877133.13311,53760,1.7065269947052002
1764877159.550307,56320,1.7019376754760742
1764877174.8757062,56320,1.6780580282211304
1764877189.867203,56320,1.6732994318008423
1764877204.7714791,56320,1.6533015966415405
1764877229.977366,58880,1.663294792175293
1764877244.839751,58880,1.6410953998565674
1764877259.2941482,58880,1.6685997247695923
1764877272.3779452,58880,1.6171804666519165
1764877297.902675,61440,1.6502058506011963
1764877312.717249,61440,1.6405975818634033
1764877328.179734,61440,1.6282215118408203
1764877343.59996,61440,1.6281837224960327
1764877370.4485812,64000,1.681025743484497
1764877386.0376,64000,1.621354103088379
1764877401.244426,64000,1.628725290298462
1764877417.130657,64000,1.6598033905029297
1764877444.8897111,66560,1.7096881866455078
