Wall time,Step,Value
1765024072.867918,12800,13.299653222472799
1765024359.006878,25600,11.934767643344687
1765024636.000708,38400,11.455680633711093
1765024913.360828,51200,11.534405751357507
1765025189.015509,64000,11.389031639313334
1765025464.694497,76800,11.390948491633939
1765025741.6025689,89600,11.298477037495507
1765026018.1400619,102400,11.335084075824241
1765026294.468597,115200,11.253242714926852
1765026871.5603929,128000,11.365447047667269
1765027146.302996,140800,11.366913323316593
1765027421.17783,153600,11.267836001595006
1765027695.9287639,166400,11.201000425921366
1765027972.507213,179200,11.409967347706731
1765028249.318986,192000,11.477759525947265
1765028716.932856,199680,11.25418369693154
