iteration,global_step,checkpoint,makespan,energy,knee_distance
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.999174274031524,12.710813193948448,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.999174274031524,12.710813193948448,0.0
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0865845804501055,11.629423336492914,0.16026799003764636
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.999174274031524,12.710813193948448,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.999174274031524,12.710813193948448,0.0
30,76800,hetero_mean_pf_it00030_st000076800.pt,1.0213157633172383,11.126284460894414,0.049513322713243865
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.999174274031524,12.710813193948448,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.999174274031524,12.710813193948448,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,1.002284578948829,13.003299902273966,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,1.002284578948829,13.003299902273966,0.0
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0192823663530914,11.709384495057392,0.17743526999194853
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0192823663530914,11.709384495057392,0.17743526999194853
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0192823663530914,11.709384495057392,0.17743526999194853
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0192823663530914,11.709384495057392,0.17743526999194853
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.0
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.0
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.0
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.0
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.0
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.0
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.0
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.0
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.0
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.0
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.0
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.0
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.0
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.0
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.0
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.0
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.45046487863221485
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.45046487863221485
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.45046487863221485
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.45046487863221485
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.45046487863221485
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.4987976765989874
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.0
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.0
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.0
150,384000,hetero_mean_pf_it00150_st000384000.pt,0.9878426363636363,10.431618832298216,0.0052753094479469805
160,409600,hetero_mean_pf_it00160_st000409600.pt,0.9903026439393938,10.42517783588246,0.03273146284749432
160,409600,hetero_mean_pf_it00160_st000409600.pt,0.9903026439393938,10.42517783588246,0.03273146284749432
160,409600,hetero_mean_pf_it00160_st000409600.pt,0.9903026439393938,10.42517783588246,0.03273146284749432
160,409600,hetero_mean_pf_it00160_st000409600.pt,0.9903026439393938,10.42517783588246,0.03273146284749432
160,409600,hetero_mean_pf_it00160_st000409600.pt,0.9903026439393938,10.42517783588246,0.03273146284749432
160,409600,hetero_mean_pf_it00160_st000409600.pt,0.9903026439393938,10.42517783588246,0.03273146284749432
160,409600,hetero_mean_pf_it00160_st000409600.pt,0.9903026439393938,10.42517783588246,0.03273146284749432
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9984457437728939,12.908556644336608,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9984457437728939,12.908556644336608,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,1.002284578948829,13.003299902273966,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,1.002284578948829,13.003299902273966,0.0
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0192823663530914,11.709384495057392,0.17743526999194853
