tasks,edges,width_peak,depth_avg,Pbar,burstiness,cp_frac,seed
16.0,78.0,2.0,12.0,1.3158886631202424,1.5,0.7599427125003072,100001
15.0,71.0,2.0,11.0,1.3809038486816412,1.4666666666666668,0.7241633810744369,100002
21.0,141.0,2.0,18.0,1.1740141462098406,1.7142857142857142,0.8517784928132053,100003
18.0,107.0,3.0,15.0,1.1534043157598195,2.5,0.8669986632928779,100004
19.0,120.0,2.0,15.0,1.2085341808802565,1.5789473684210527,0.8274486694878856,100005
12.0,41.0,2.0,9.0,1.2734500598031284,1.5,0.7852683285865147,100006
21.0,147.0,3.0,15.0,1.2822709307698978,2.142857142857143,0.7798663886106991,100007
20.0,129.0,2.0,14.0,1.4403691608836733,1.4,0.6942664610970255,100008
15.0,68.0,2.0,11.0,1.285804715936066,1.4666666666666668,0.777723076923077,100009
17.0,94.0,2.0,11.0,1.4936637599618714,1.2941176470588236,0.6694947194979993,100010
12.0,45.0,2.0,10.0,1.144381379875226,1.6666666666666667,0.8738345603884536,100011
18.0,101.0,2.0,14.0,1.2599493626048068,1.5555555555555554,0.793682690495283,100012
13.0,49.0,1.0,13.0,1.0,1.0,1.0,100013
12.0,39.0,3.0,7.0,1.507184004714322,1.75,0.663488994623151,100014
21.0,143.0,2.0,19.0,1.0697603779571658,1.8095238095238093,0.9347887813059765,100015
22.0,153.0,2.0,19.0,1.1906975023896569,1.7272727272727273,0.8398438713384897,100016
13.0,53.0,2.0,11.0,1.2523659199543773,1.6923076923076923,0.7984886717744837,100017
14.0,56.0,3.0,8.0,1.623755743850701,1.7142857142857142,0.6158561740502435,100018
23.0,176.0,2.0,20.0,1.1350370645487893,1.7391304347826089,0.8810284978645428,100019
13.0,52.0,2.0,12.0,1.0622245630448792,1.8461538461538463,0.9414205195307178,100020
17.0,89.0,2.0,13.0,1.2154823022921717,1.5294117647058822,0.8227186838625191,100021
21.0,146.0,2.0,16.0,1.2501129494173304,1.5238095238095237,0.7999277189041947,100022
15.0,69.0,1.0,15.0,1.0,1.0,1.0,100023
20.0,125.0,2.0,15.0,1.2412914230258354,1.5,0.8056125914109267,100024
18.0,94.0,2.0,15.0,1.1654168784951704,1.6666666666666667,0.8580620535470854,100025
19.0,114.0,2.0,17.0,1.1519973608222966,1.7894736842105263,0.8680575442344757,100026
23.0,161.0,2.0,20.0,1.1768264168264169,1.7391304347826089,0.8497429915762174,100027
16.0,87.0,2.0,15.0,1.061634719649867,1.875,0.9419435720129853,100028
13.0,57.0,2.0,12.0,1.0810370933157136,1.8461538461538463,0.9250376385632061,100029
13.0,51.0,2.0,10.0,1.2050961554724895,1.5384615384615383,0.8298093023190534,100030
20.0,136.0,2.0,18.0,1.0905023966723062,1.7999999999999998,0.9170085302439717,100031
17.0,89.0,3.0,11.0,1.421362908510036,1.9411764705882353,0.703550088448744,100032
15.0,74.0,3.0,12.0,1.177385576429088,2.4,0.8493394347779564,100033
