tasks,edges,width_peak,depth_avg,Pbar,burstiness,cp_frac,seed
27.0,28.0,21.0,3.0,10.039336103756828,2.3333333333333335,0.0996081802287493,200001
29.0,34.0,20.0,5.0,4.882375083060307,3.4482758620689657,0.20481834823988843,200002
27.0,31.0,17.0,5.0,4.526048346352648,3.148148148148148,0.22094328727307075,200003
27.0,26.0,21.0,4.0,7.261599460097857,3.111111111111111,0.13771070760580398,200004
30.0,33.0,18.0,5.0,6.545762283929548,3.0,0.15277059517653008,200005
27.0,27.0,17.0,4.0,6.538852120858478,2.5185185185185186,0.15293204090211343,200006
25.0,24.0,16.0,4.0,5.776511288419622,2.56,0.17311486987045896,200007
28.0,31.0,18.0,4.0,7.3447085703174375,2.5714285714285716,0.13615244096155882,200008
27.0,31.0,16.0,5.0,5.430692418343886,2.962962962962963,0.18413858178050793,200009
28.0,28.0,19.0,4.0,7.386063903165079,2.7142857142857144,0.1353901094155819,200010
27.0,29.0,17.0,5.0,6.515983993321477,3.148148148148148,0.15346876251153238,200011
27.0,27.0,20.0,4.0,6.291832818496677,2.962962962962963,0.1589362001260123,200012
30.0,31.0,21.0,5.0,6.733013928395072,3.5,0.14852189682583458,200013
27.0,27.0,19.0,4.0,5.150412279838631,2.814814814814815,0.1941592139942885,200014
28.0,30.0,18.0,4.0,6.099724339224907,2.5714285714285716,0.1639418348087301,200015
24.0,27.0,16.0,3.0,6.482943000214679,2.0,0.15425093201758608,200016
28.0,31.0,17.0,5.0,5.489767579665809,3.035714285714286,0.18215707413625612,200017
26.0,26.0,18.0,3.0,7.661319544291065,2.076923076923077,0.13052581793761145,200018
26.0,27.0,15.0,5.0,5.004827954723343,2.8846153846153846,0.19980706810435767,200019
27.0,26.0,15.0,4.0,6.852976762648073,2.2222222222222223,0.14592198903262996,200020
25.0,25.0,15.0,3.0,7.1389495262895455,1.7999999999999998,0.14007663120707733,200021
29.0,31.0,23.0,3.0,8.124693156980328,2.3793103448275863,0.12308157128873848,200022
26.0,25.0,18.0,4.0,6.668255341374639,2.769230769230769,0.14996426333516097,200023
