tasks,edges,width_peak,depth_avg,Pbar,burstiness,cp_frac,domain,set
27.0,28.0,21.0,3.0,10.166648196814743,2.3333333333333335,0.09836083443049644,wide,original
29.0,34.0,20.0,5.0,5.983895987110794,3.4482758620689657,0.16711520423382728,wide,original
27.0,31.0,17.0,5.0,4.936639701700057,3.148148148148148,0.20256694035329836,wide,original
27.0,26.0,21.0,4.0,7.449589308823918,3.111111111111111,0.13423558783509262,wide,original
30.0,33.0,18.0,5.0,6.8847423264841385,3.0,0.1452487184819122,wide,original
27.0,27.0,17.0,4.0,5.153830028091066,2.5185185185185186,0.19403045784387102,wide,original
25.0,24.0,16.0,4.0,6.320056670317414,2.56,0.15822642931297903,wide,original
28.0,31.0,18.0,4.0,6.375188613648296,2.5714285714285716,0.15685810422285454,wide,original
27.0,31.0,16.0,5.0,6.595129941748842,2.962962962962963,0.15162703522636406,wide,original
28.0,28.0,19.0,4.0,6.666236653321972,2.7142857142857144,0.15000967592437212,wide,original
27.0,29.0,17.0,5.0,6.565063639164751,3.148148148148148,0.1523214480411688,wide,original
27.0,27.0,20.0,4.0,6.563316294701254,2.962962962962963,0.15236200041240242,wide,original
30.0,31.0,21.0,5.0,5.298131052324464,3.5,0.1887458030244962,wide,original
27.0,27.0,19.0,4.0,6.804139604235639,2.814814814814815,0.14696935368249806,wide,original
28.0,30.0,18.0,4.0,5.956414239587485,2.5714285714285716,0.16788624158370416,wide,original
24.0,27.0,16.0,3.0,5.8633222145484645,2.0,0.1705517731088927,wide,original
28.0,31.0,17.0,5.0,5.232783823145269,3.035714285714286,0.1911028687210186,wide,original
26.0,26.0,18.0,3.0,8.93527953097941,2.076923076923077,0.11191591673577879,wide,original
26.0,27.0,15.0,5.0,5.7886604940165025,2.8846153846153846,0.17275153742971425,wide,original
27.0,26.0,15.0,4.0,6.919951015919826,2.2222222222222223,0.14450969345005923,wide,original
25.0,25.0,15.0,3.0,6.433963049020365,1.7999999999999998,0.15542520098126145,wide,original
29.0,31.0,23.0,3.0,8.87863675677665,2.3793103448275863,0.1126299033730315,wide,original
26.0,25.0,18.0,4.0,5.8307954792007735,2.769230769230769,0.17150318572605294,wide,original
29.0,31.0,19.0,5.0,6.376545863220769,3.2758620689655173,0.15682471693144914,wide,original
24.0,24.0,18.0,3.0,8.385112600553487,2.25,0.11925898287090285,wide,original
25.0,27.0,16.0,4.0,5.314003954284612,2.56,0.18818202030010028,wide,original
25.0,25.0,19.0,3.0,5.116039590114902,2.28,0.19546369459927126,wide,original
29.0,28.0,20.0,4.0,5.78547782854182,2.7586206896551726,0.17284657026367714,wide,original
30.0,32.0,22.0,3.0,6.843676116121837,2.2,0.14612029894931358,wide,original
26.0,27.0,18.0,5.0,4.437750356129692,3.4615384615384612,0.22533939941410605,wide,original
27.0,30.0,16.0,5.0,5.001636437554021,2.962962962962963,0.19993456391425277,wide,original
27.0,30.0,18.0,4.0,6.440580405324379,2.6666666666666665,0.15526550979369927,wide,original
27.0,27.0,15.0,4.0,7.3853986707587245,2.2222222222222223,0.1354023045444163,wide,original
24.0,23.0,21.0,3.0,9.176767203809222,2.625,0.10897083665638875,wide,original
29.0,30.0,19.0,5.0,4.969990927260295,3.2758620689655173,0.2012076107654485,wide,original
29.0,31.0,19.0,4.0,6.156266735841478,2.6206896551724137,0.16243610663879293,wide,original
28.0,29.0,19.0,4.0,8.132145167330542,2.7142857142857144,0.1229687836878913,wide,original
27.0,28.0,18.0,4.0,5.959043057547835,2.6666666666666665,0.16781217895940212,wide,original
29.0,28.0,16.0,5.0,5.494067287764628,2.7586206896551726,0.18201451631781343,wide,original
30.0,29.0,22.0,5.0,6.82066589798077,3.6666666666666665,0.14661325081119217,wide,original
26.0,26.0,18.0,4.0,5.854706095118789,2.769230769230769,0.17080276682611353,wide,original
27.0,27.0,19.0,4.0,7.169418667371179,2.814814814814815,0.13948132287923304,wide,original
26.0,27.0,18.0,3.0,7.3404657016991814,2.076923076923077,0.13623113854595337,wide,original
26.0,27.0,15.0,6.0,4.059158863250292,3.4615384615384617,0.2463564579976231,wide,original
27.0,29.0,14.0,5.0,4.277634970010369,2.5925925925925926,0.23377403799314275,wide,original
27.0,30.0,20.0,5.0,6.471177990715119,3.7037037037037033,0.1545313699352429,wide,original
28.0,33.0,22.0,3.0,5.679119608601583,2.357142857142857,0.17608363072427669,wide,original
28.0,29.0,21.0,3.0,7.026535813820538,2.25,0.14231764079720388,wide,original
30.0,32.0,17.0,4.0,6.292388877073586,2.2666666666666666,0.15892215492966671,wide,original
30.0,33.0,14.0,4.0,7.948067860508954,1.8666666666666667,0.1258167415717013,wide,original
30.0,29.0,19.0,4.0,6.87839923999525,2.533333333333333,0.14538266319078777,wide,original
26.0,27.0,19.0,4.0,5.337001299455335,2.923076923076923,0.18737113669094563,wide,original
24.0,24.0,20.0,3.0,7.875887150233228,2.5,0.12696982332592044,wide,original
25.0,26.0,17.0,6.0,4.61102825560287,4.08,0.21687136676833374,wide,original
28.0,29.0,14.0,4.0,6.065021611536353,2.0,0.1648798741455245,wide,original
30.0,32.0,18.0,5.0,5.194289698400536,3.0,0.19251910425941923,wide,original
24.0,25.0,18.0,4.0,4.6585872884269275,3.0,0.21465734955406868,wide,original
29.0,30.0,23.0,3.0,7.853412828947368,2.3793103448275863,0.12733317626115867,wide,original
27.0,27.0,20.0,4.0,7.22295615246224,2.962962962962963,0.1384474692760123,wide,original
